Date,Open,High,Low,Close,Volume
23/11/2022,47.27,49.45,47.13,49.13,3368188
24/11/2022,49.62,50.11,49.53,49.99,732552
25/11/2022,49.07,49.53,48.21,49.18,2149500
28/11/2022,52.34,53.99,50.53,51.34,4356291
29/11/2022,52.1,54.15,49.92,50.45,5573514
30/11/2022,50.39,55.26,50.09,55.26,9887520
1/12/2022,55.9,58.7,55.5,58.29,5235430
2/12/2022,56.65,60.63,56.55,57.96,6945514
5/12/2022,57.55,58.69,54.96,55.46,3376838
6/12/2022,55.31,55.64,52.68,53.21,6389781
7/12/2022,52.18,53.07,51.3,52.51,4114091
8/12/2022,51.57,53.17,49.7,52.49,3524307
9/12/2022,52.47,55.09,52.32,52.4,3031371
12/12/2022,51.67,52.85,51.25,52.28,4021020
13/12/2022,56.7,57.78,52.25,52.55,5378072
14/12/2022,52.08,53.4,51.17,51.82,4451419
15/12/2022,50.62,51.4,49.23,49.71,4456359
16/12/2022,49.4,50.77,48.79,49.4,9614124
19/12/2022,49.28,49.5,48.11,48.47,2479149
20/12/2022,47.62,50.44,47.52,49.01,4489759
21/12/2022,49.45,50.29,48.1,49.26,5571625
22/12/2022,48.56,48.58,45.69,47.26,5053742
23/12/2022,46.72,47.11,45.17,45.83,3704144
28/12/2022,44.92,45.51,44.06,44.4,3769836
29/12/2022,44.95,47.92,44.67,47.56,3258546
30/12/2022,46.55,47.66,46.27,47.01,3633065
3/01/2023,48.79,49.64,47.21,48.79,4362799
4/01/2023,49.16,50.91,48.41,50.61,4293133
5/01/2023,49.37,49.8,47.91,48.83,4110246
6/01/2023,48.89,50.05,47.4,49.56,3783011
9/01/2023,50.49,51.5,49.76,49.81,3927596
10/01/2023,49.61,50.06,48.37,49.01,3535170
11/01/2023,49.43,50.14,48.04,48.92,5545777
12/01/2023,49.79,49.98,47.78,49.11,5442247
13/01/2023,48.05,52.3,47.96,52.09,4535235
16/01/2023,52.35,52.8,52.12,52.16,657057
17/01/2023,52.52,53.9,51.02,53.53,3907537
18/01/2023,54.2,54.91,52.79,52.89,4862488
19/01/2023,51.6,53.12,51.17,51.29,4192794
20/01/2023,52,54.17,51.45,54.16,3801517
23/01/2023,56.35,59,56.14,58.91,5404741
24/01/2023,58.02,59.75,56.66,57.09,4397505
25/01/2023,59.9,64.6,59.4,63.34,8516297
26/01/2023,65,65.89,62.09,64.42,6310184
27/01/2023,63.56,66.75,63.5,66.66,4237573
30/01/2023,66.11,66.28,63.15,63.21,4996640
31/01/2023,64.11,66.32,64,65.57,4687252
1/02/2023,65.7,67.67,64.53,66.79,6305483
2/02/2023,70.65,72.49,69.78,71.39,5984881
3/02/2023,68.87,73.03,68.44,70.93,6173165
6/02/2023,69.23,71.06,69.18,69.34,2971556
7/02/2023,69.43,69.73,66.38,68.82,4309337
8/02/2023,68.49,69.34,66.92,66.98,3810455
9/02/2023,68.25,68.63,66.51,66.86,4456563
10/02/2023,65.52,65.58,63.27,64.44,3159911
13/02/2023,64.68,65.47,64.04,65.03,2588087
14/02/2023,65.21,67.62,64.18,66.82,3140874
15/02/2023,68.39,71.9,67.4,71.44,4426873
16/02/2023,61.95,63.07,59.6,60.39,7161534
17/02/2023,59.49,60.76,57.89,58.7,4715703
21/02/2023,56.84,57.87,55.64,56.06,3727310
22/02/2023,56.96,58.09,55.61,57.01,4248318
23/02/2023,57.99,57.99,55.56,57.38,3644604
24/02/2023,55.36,56.1,54.43,55.43,3887915
27/02/2023,55.55,55.7,53.92,54.94,2695005
28/02/2023,54.99,56.34,54.88,56.18,3645450
1/03/2023,56.18,56.46,54.5,54.54,3255846
2/03/2023,53.28,56.3,53.16,55.97,3230275
3/03/2023,56.43,59.1,56.22,58.99,3318058
6/03/2023,59.55,59.98,58.82,59.2,2849462
7/03/2023,58.86,59.7,57.94,58.4,3664023
8/03/2023,58.26,60.43,57.84,60.25,2880182
9/03/2023,60.3,63.27,59.1,59.47,4594517
10/03/2023,58.07,58.71,55.98,57.33,4965537
13/03/2023,55.87,58.65,54.78,57.38,5369097
14/03/2023,58.59,60.41,58.59,59.88,3698627
15/03/2023,58.69,59.96,58.02,59.92,3798217
16/03/2023,59.6,61.56,57.9,61.32,4318733
17/03/2023,60.73,62.25,60.2,61.36,6835625
20/03/2023,60.6,60.64,58.57,59.93,2950941
21/03/2023,60.21,63.14,60.2,62.73,3471877
22/03/2023,62.68,64.62,61.38,61.69,3623560
23/03/2023,62.62,64.04,61.89,62.79,3808040
24/03/2023,62.15,62.78,60.86,61.73,2779976
27/03/2023,62.37,62.84,60.59,61.58,2620516
28/03/2023,61.48,62,59.9,60.25,3239827
29/03/2023,60.9,63.39,60.83,63.31,4156422
30/03/2023,63.98,64.02,62.3,62.91,3102952
31/03/2023,63.1,65.15,62.19,64.8,4030121
3/04/2023,63.71,64.08,62.65,63.97,3808041
4/04/2023,64.03,64.77,63.71,64.02,3064149
5/04/2023,63.71,63.76,60.81,60.85,3779675
6/04/2023,60.35,61.44,58.76,61.18,3175902
10/04/2023,60.54,61.61,59.67,61.24,2592611
11/04/2023,60.94,61.51,59.53,60.33,3323602
12/04/2023,63.45,65.63,60.8,60.89,6300119
13/04/2023,61.19,62.47,60.86,60.99,3206491
14/04/2023,60.84,62.11,60.2,61.99,2783593
17/04/2023,61.85,65.44,61.46,64.98,4268237
18/04/2023,65.5,66.72,65.13,65.92,3256375
19/04/2023,65.01,66.42,64.9,66.01,2967731
20/04/2023,65.25,65.63,64.19,64.55,5998203
21/04/2023,65.1,66.33,64.83,66.27,4879316
24/04/2023,66.08,67.02,64.4,65.02,3000100
25/04/2023,64.5,64.58,63.15,63.34,2843593
26/04/2023,64.4,64.59,63.01,63.28,3228684
27/04/2023,64.53,64.75,63.09,64.67,2683963
28/04/2023,64.15,66.17,64.06,65.64,3568306
1/05/2023,65.26,66.28,63.84,64.04,2859825
2/05/2023,63.59,64.83,62.8,63.72,2812526
3/05/2023,63.92,65.15,62.94,63.05,3154310
4/05/2023,73,81.2,73,77.65,9667303
5/05/2023,77.26,83.72,76.86,83.04,5247035
8/05/2023,81.83,87,81.71,86.13,5471475
9/05/2023,84.93,85.6,83.52,85.5,4191610
10/05/2023,85.8,87.53,84.47,84.58,4382425
11/05/2023,84.23,85.03,83.04,84.93,3127263
12/05/2023,84.18,84.56,82.75,83.12,3080495
15/05/2023,82.29,83.88,82.05,83.03,2628202
16/05/2023,82.05,83.29,81.06,81.14,2746191
17/05/2023,81.15,82.18,80.18,81.73,2630336
18/05/2023,81.94,83.59,81.14,82.21,4078334
19/05/2023,82.05,82.36,80.79,81.31,2919781
23/05/2023,82.71,83.75,78.3,78.77,5457463
24/05/2023,77.86,81.32,77.25,80.18,8353644
25/05/2023,81.08,81.16,78.35,78.67,2441795
26/05/2023,78.77,81.58,78.68,80.69,3077916
29/05/2023,81.33,81.96,81,81.48,900754
30/05/2023,82.3,83.61,78.59,79.14,3303951
31/05/2023,79.01,80.46,77.21,77.67,4214899
1/06/2023,76.3,78.78,75.09,77.88,3129789
2/06/2023,79.25,80.2,77.8,78.25,2750203
5/06/2023,77.91,81.67,77.67,80.56,3399627
6/06/2023,83,85.86,81.71,85.35,4414486
7/06/2023,85.79,86.44,79.35,79.67,5581371
8/06/2023,79.15,81.71,77.54,79.17,4415074
9/06/2023,79.7,82.96,79.66,81.88,3397194
12/06/2023,82.9,87.75,82.81,86.96,3733624
13/06/2023,88.06,88.64,84.26,84.99,3190301
14/06/2023,85.09,88.35,84.95,87.85,3372058
15/06/2023,87,87.65,85,87.44,3399083
16/06/2023,88.55,89.02,85.1,85.53,8106175
19/06/2023,85.5,85.94,85.2,85.53,269531
20/06/2023,86,88.12,83.93,85.03,3087379
21/06/2023,84.74,85.64,81.63,83.16,2728081
22/06/2023,82.34,84.27,81.74,83.47,2847689
23/06/2023,82.03,84.3,81.37,84.11,2445179
26/06/2023,83.48,85.5,83.05,83.15,2139170
27/06/2023,83.91,85.04,82.87,84.1,2345089
28/06/2023,84.7,87.92,83.94,85.65,2708606
29/06/2023,86.11,86.14,83.77,84.46,2269435
30/06/2023,85.37,86.48,84.98,85.62,4895589
4/07/2023,85.9,86.47,85.87,86.31,627111
5/07/2023,85.55,85.94,83.65,85.57,2930048
6/07/2023,83.95,84.27,81.89,82.65,4817773
7/07/2023,82.68,84.2,81.82,81.9,3731119
10/07/2023,81.5,82.37,80.36,82.19,2087344
11/07/2023,82.69,83.93,82.39,83.6,2673440
12/07/2023,85.04,86.92,83.97,86.91,4203903
13/07/2023,88.24,92.41,88,92.24,4782728
14/07/2023,92.75,93.83,90.48,90.55,3624032
17/07/2023,90.63,92.07,89.6,90.63,2540303
18/07/2023,90.08,90.6,86.3,88.57,5710137
19/07/2023,89.38,91,88.77,89.91,3234939
20/07/2023,88.5,89.79,85.7,86.21,5105567
21/07/2023,87.44,88.01,86.19,86.71,2245130
24/07/2023,88.42,89.35,86.19,87.15,2443407
